user_id,day,time_spent,sessions,tasks_completed,tasks_pending,efficiency,distractions,active_sessions,longest_session,most_productive_session,engagement_level
user_1,2024-11-17,248,"[120, 119, 39, 100]",1,3,53,2,4,120,100,High
user_1,2024-11-16,244,"[22, 103]",4,0,97,3,2,103,22,High
user_1,2024-11-15,109,"[51, 110]",0,1,89,2,2,110,110,Low
user_1,2024-11-14,227,"[47, 96, 26, 74, 79]",6,5,71,2,5,96,79,High
user_1,2024-11-13,253,"[117, 102, 119]",5,2,82,0,3,119,102,High
user_1,2024-11-12,278,"[63, 47, 108, 63]",1,2,90,2,4,108,63,High
user_1,2024-11-11,287,"[43, 84, 49, 10, 86]",10,4,55,2,5,86,49,High
user_1,2024-11-10,56,"[46, 55, 97, 31]",4,4,78,0,4,97,46,Low
user_1,2024-11-09,270,"[89, 118, 27]",0,0,60,2,3,118,27,High
user_1,2024-11-08,90,"[87, 66, 31, 35, 87]",8,5,65,1,5,87,35,Low
user_1,2024-11-07,96,"[86, 94, 65, 95]",0,3,74,0,4,95,86,Low
user_1,2024-11-06,123,"[66, 62, 101]",8,1,51,1,3,101,101,Medium
user_1,2024-11-05,240,"[82, 66, 98, 22]",2,4,79,0,4,98,98,High
user_1,2024-11-04,128,"[19, 97, 72]",5,2,56,2,3,97,97,Medium
user_1,2024-11-03,218,"[70, 67, 82]",0,1,69,1,3,82,82,High
user_1,2024-11-02,203,"[62, 68, 56, 26]",0,5,84,3,4,68,26,Medium
user_1,2024-11-01,215,"[100, 94, 54]",0,5,61,2,3,100,54,High
user_1,2024-10-31,242,[87],2,3,73,1,1,87,87,High
user_1,2024-10-30,48,"[89, 94, 23]",2,1,66,1,3,94,94,Low
user_1,2024-10-29,212,"[108, 50, 67]",6,5,64,3,3,108,67,High
user_1,2024-10-28,170,"[90, 33, 58, 120]",4,0,82,0,4,120,33,Medium
user_1,2024-10-27,276,"[41, 35]",4,3,99,2,2,41,35,High
user_1,2024-10-26,158,"[26, 34, 24, 116]",7,4,76,1,4,116,34,Medium
user_1,2024-10-25,146,"[27, 76, 86, 70, 34]",8,0,97,2,5,86,76,Medium
user_1,2024-10-24,250,"[19, 70, 26, 44, 44]",5,5,94,3,5,70,44,High
user_1,2024-10-23,246,"[44, 27, 32, 34]",4,4,61,3,4,44,32,High
user_1,2024-10-22,122,"[55, 70, 47, 58]",2,0,55,3,4,70,55,Medium
user_1,2024-10-21,214,"[91, 65, 50, 62]",4,0,88,2,4,91,91,High
user_1,2024-10-20,177,[41],9,3,63,2,1,41,41,Medium
user_1,2024-10-19,300,"[76, 38]",1,1,94,3,2,76,38,High
user_2,2024-11-17,253,"[40, 101, 41, 70]",2,1,52,3,4,101,70,High
user_2,2024-11-16,71,[11],6,0,79,0,1,11,11,Low
user_2,2024-11-15,140,"[23, 87]",3,0,94,0,2,87,23,Medium
user_2,2024-11-14,136,"[89, 41]",5,3,59,2,2,89,41,Medium
user_2,2024-11-13,120,"[27, 28, 11]",10,4,73,3,3,28,27,Medium
user_2,2024-11-12,46,"[113, 77, 88, 13]",8,3,89,3,4,113,88,Low
user_2,2024-11-11,270,"[56, 110, 114, 83, 57]",5,0,72,1,5,114,83,High
user_2,2024-11-10,229,"[28, 96]",8,1,76,2,2,96,96,High
user_2,2024-11-09,263,"[15, 112, 10]",3,5,92,2,3,112,10,High
user_2,2024-11-08,110,"[44, 59, 86]",3,5,76,0,3,86,59,Low
user_2,2024-11-07,74,"[46, 21, 116]",3,1,87,1,3,116,46,Low
user_2,2024-11-06,142,"[46, 110]",9,4,60,2,2,110,46,Medium
